iteration,convergenceIndicator,phase,Cl_pop,V_pop,a,b,ka_pop,omega_Cl,omega_V,omega_ka
164,275.202,1,0.0408013,0.463744,0.357039,0.0738916,1.5312,0.286219,0.120589,0.626339
165,271.046,1,0.0396937,0.462668,0.347948,0.0727574,1.53459,0.285487,0.117536,0.63591
166,268.204,1,0.0396139,0.453528,0.347743,0.0714818,1.50513,0.279821,0.11456,0.644568
167,273.053,1,0.0397638,0.458041,0.345828,0.0737957,1.47931,0.278284,0.121324,0.628247
168,266.51,1,0.0396694,0.455444,0.338301,0.0713122,1.50758,0.271238,0.118252,0.655223
169,275.119,1,0.0396237,0.457188,0.384855,0.0667337,1.45852,0.274325,0.123817,0.638632
170,271.586,1,0.0396865,0.461298,0.398871,0.0621601,1.46769,0.274652,0.123824,0.626479
171,268.651,1,0.0407956,0.459084,0.504308,0.0399848,1.53663,0.284447,0.120689,0.633182
172,269.607,1,0.0401497,0.459926,0.414142,0.059312,1.52466,0.277244,0.117633,0.625881
173,271.191,1,0.040536,0.459759,0.378489,0.066327,1.53343,0.278428,0.118752,0.637224
174,273.543,1,0.0396741,0.460132,0.312502,0.0798864,1.47885,0.29571,0.121047,0.650085
175,278.501,1,0.0404093,0.455305,0.3755,0.0687227,1.53953,0.288222,0.137708,0.633624
176,276.722,1,0.0402482,0.453742,0.379793,0.0682506,1.51164,0.280924,0.134253,0.617581
177,279.027,1,0.0402627,0.453285,0.413987,0.0636207,1.43111,0.287966,0.130854,0.601943
178,275.043,1,0.0399595,0.449269,0.47623,0.0467064,1.49482,0.293743,0.127927,0.617632
179,273.642,1,0.0410908,0.451038,0.515019,0.0395368,1.52228,0.294813,0.124688,0.622355
180,280.251,1,0.0408005,0.443725,0.522106,0.0411831,1.51303,0.302893,0.121531,0.63574
181,275.58,1,0.0395335,0.451379,0.414993,0.0609921,1.46614,0.300211,0.118453,0.632793
182,276.491,1,0.0409614,0.452183,0.47887,0.0481555,1.46599,0.294095,0.118597,0.656785
183,278.142,1,0.040916,0.456954,0.465794,0.0532591,1.51205,0.286649,0.122084,0.640155
184,271.313,1,0.0401348,0.45594,0.398688,0.0624637,1.51891,0.279391,0.118993,0.649018
185,273.855,1,0.0404338,0.458387,0.401135,0.0625481,1.53088,0.28183,0.120414,0.646993
186,276.299,1,0.0397896,0.455712,0.455893,0.0516661,1.52821,0.291377,0.124239,0.641538
187,272.671,1,0.0394492,0.452677,0.455915,0.0492024,1.51397,0.284,0.130917,0.665683
188,275.002,1,0.0395941,0.461072,0.439057,0.055211,1.53084,0.276809,0.128133,0.648828
189,274.441,1,0.0387853,0.463714,0.474682,0.0472519,1.58228,0.2698,0.130467,0.663985
190,270.63,1,0.0394432,0.462003,0.469132,0.0455266,1.58518,0.262968,0.139069,0.665781
191,270.843,1,0.0397536,0.464321,0.427418,0.0559292,1.55066,0.25631,0.135548,0.648923
192,271.828,1,0.0399415,0.457991,0.418646,0.0591895,1.54338,0.252101,0.132116,0.632492
193,267.035,1,0.0395275,0.463538,0.375184,0.0640034,1.57619,0.263083,0.12877,0.668026
194,270.338,1,0.0396233,0.461188,0.410724,0.0587868,1.54303,0.256421,0.128266,0.66713
195,275.477,1,0.0391881,0.45786,0.471294,0.049762,1.56133,0.259902,0.125018,0.650238
196,274.86,1,0.0400788,0.459566,0.515145,0.0400095,1.59116,0.253321,0.14166,0.645917
197,276.473,1,0.0398408,0.458332,0.503656,0.0433444,1.57992,0.246907,0.139522,0.629562
198,281.386,1,0.0402401,0.459781,0.506391,0.0433707,1.57882,0.260921,0.156198,0.630947
