rep,id,eta_ka,eta_V,eta_k,eta_k12,eta_k21,eta_km,eta_Kpm
4,37,0.106646,-0.105217,-0.0351725,-0.0231621,0.0338027,0.105401,-0.00138653
5,37,0.0309347,-0.160532,0.0479376,0.07432,0.0207091,0.0502442,-0.00912758
6,37,0.104303,-0.0414686,-0.000309532,0.0122139,0.12318,0.0554075,0.020641
7,37,0.0620629,-0.0643312,-0.0336203,-0.128204,0.037484,-0.00419273,0.0343571
1,38,-0.0417608,0.0713409,-0.0312503,-0.0568936,-0.132057,0.0689779,-0.00173756
2,38,0.011222,0.120654,0.0990407,0.0450737,-0.00110127,0.0490018,0.0147564
3,38,0.0134209,0.152808,-0.00842557,-0.0271225,-0.147522,0.0466987,-0.065156
4,38,-0.0555356,0.0602229,0.207301,0.0856518,0.174883,0.0387024,0.0168115
5,38,-0.0854705,0.053009,0.095679,-0.0768077,0.00868404,0.0328493,-0.0034503
6,38,-0.00615253,0.0493727,0.0897456,-0.118491,-0.0428255,0.0504861,0.00752044
7,38,-0.0800718,0.100325,0.000266815,-0.0410603,-0.0355728,0.0144938,-0.0129589
1,39,0.150771,0.0141843,0.151229,-0.0364436,0.00476467,0.0146126,-0.0046362
2,39,0.264274,0.0327007,-0.0321007,0.0206414,-0.00258687,0.0149944,0.00385548
3,39,0.122845,-0.0195346,0.116722,-0.0459615,-0.0481784,-0.0525388,-0.0187276
4,39,0.228635,0.0217711,0.0226783,-0.12758,-0.0695355,0.0514185,0.0216358
5,39,0.166307,0.0383381,0.0569698,0.0413937,-0.0867446,0.0388021,-0.0105263
6,39,0.255319,0.0428042,0.0306194,-0.0827514,0.0671452,-0.0522672,-0.0267388
7,39,0.235882,0.0495154,-0.00195818,0.1118,-0.109259,0.0128585,0.02699
1,40,-0.0197389,0.0778872,-0.011479,0.120504,-0.0531294,-0.0193451,0.0180371
2,40,-0.0271602,0.0897869,-0.0852489,0.114856,-0.197557,0.0350888,0.02521
3,40,0.132241,0.186185,-0.0974078,0.0982857,0.00231007,-0.0817111,0.00130027
4,40,0.10917,0.149186,-0.0589265,0.130287,-0.276242,-0.0431211,-0.0245175
5,40,-0.0124933,0.112624,0.0113389,0.190877,-0.00192983,-0.0456828,-0.0145532
6,40,0.0621589,0.131883,-0.0602183,0.111491,-0.141428,-0.0459193,-0.00914406
7,40,0.00376851,0.045737,-0.0418843,0.142666,-0.109366,0.000782733,0.00855892
1,41,-0.126847,0.110071,-0.102619,-0.053322,-0.0864499,-0.00760424,0.000238282
2,41,-0.106643,0.0153203,0.0594119,0.157156,-0.0533169,0.0148741,0.0113058
3,41,-0.0920501,0.0801762,-0.00210544,-0.0269665,-0.147417,-0.025585,0.036525
4,41,0.0320059,0.175167,-0.17391,-0.0534977,-0.0462669,-0.0493459,-0.0530897
5,41,-0.181166,-0.0223768,0.107522,-1.24223e-05,-0.104823,-0.0423903,-0.00953139
6,41,-0.08783,0.0709102,-0.030484,0.0746644,-0.130976,-0.0376428,0.00470076
7,41,0.0365914,0.126562,-0.100185,-0.0172385,0.0587034,-0.0237195,-0.0128557
1,42,-0.0491281,0.141178,-0.0530473,-0.107521,-0.0834566,-0.0371416,0.0196654
2,42,-0.0980425,0.0966829,0.0546289,-0.14866,-0.148313,-0.00172034,0.0191445
3,42,-0.00600798,0.0429015,0.0914363,0.0207097,-0.258969,-0.00894263,-0.00349264
4,42,0.134949,0.111827,0.0167132,0.0243389,-0.042329,-0.0460917,0.0107548
5,42,0.00793787,0.109433,0.147899,-0.0666912,-0.182326,-0.0249019,0.026869
